timestamp_utc,probe_name,probe_address,rssi_dbm,food_temperature_c,food_temperature_f,ambient_temperature_c,ambient_temperature_f,tip_1_temperature_c,tip_1_temperature_f,tip_2_temperature_c,tip_2_temperature_f,tip_3_temperature_c,tip_3_temperature_f,tip_4_temperature_c,tip_4_temperature_f,battery_percent
2026-08-27T19:35:50.275022+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-98,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,
2026-08-27T19:35:52.288573+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-98,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,
2026-08-27T19:35:54.295355+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-98,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,
2026-08-27T19:35:56.302795+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-98,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,
2026-08-27T19:35:58.311339+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:00.318423+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:02.329443+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:04.336525+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:06.343715+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:08.351375+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:10.355514+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:12.362883+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:14.368354+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:16.376480+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:18.383783+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:20.390566+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:22.403794+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:24.411043+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:26.415460+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:28.421808+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:30.429480+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:32.435959+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:34.442412+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:36.451354+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,30.8,87.44,54.1,129.38,30.8,87.44,31.2,88.16,31.9,89.42,34.2,93.56,98.0
2026-08-27T19:36:38.459811+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-80,31.3,88.34,58.5,137.3,31.3,88.34,31.7,89.06,32.6,90.68,35.3,95.53999999999999,98.0
2026-08-27T19:36:40.466548+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-80,31.3,88.34,58.5,137.3,31.3,88.34,31.7,89.06,32.6,90.68,35.3,95.53999999999999,98.0
2026-08-27T19:36:42.469874+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-90,31.3,88.34,58.5,137.3,31.3,88.34,31.7,89.06,32.6,90.68,35.3,95.53999999999999,98.0
2026-08-27T19:36:44.474719+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-95,31.3,88.34,58.7,137.66000000000003,31.3,88.34,31.7,89.06,32.6,90.68,35.4,95.72,98.0
2026-08-27T19:36:46.480866+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-87,31.3,88.34,58.8,137.84,31.3,88.34,31.8,89.24000000000001,32.7,90.86000000000001,35.4,95.72,98.0
2026-08-27T19:36:48.486582+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-87,31.3,88.34,58.8,137.84,31.3,88.34,31.8,89.24000000000001,32.7,90.86000000000001,35.4,95.72,98.0
2026-08-27T19:36:50.493655+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-86,31.4,88.52,58.9,138.01999999999998,31.4,88.52,31.8,89.24000000000001,32.7,90.86000000000001,35.5,95.9,98.0
2026-08-27T19:36:52.504522+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-86,31.4,88.52,58.9,138.01999999999998,31.4,88.52,31.8,89.24000000000001,32.7,90.86000000000001,35.5,95.9,98.0
2026-08-27T19:36:54.511005+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-86,31.4,88.52,58.9,138.01999999999998,31.4,88.52,31.8,89.24000000000001,32.7,90.86000000000001,35.5,95.9,98.0
2026-08-27T19:36:56.518293+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-83,31.4,88.52,58.9,138.01999999999998,31.4,88.52,31.8,89.24000000000001,32.7,90.86000000000001,35.5,95.9,98.0
2026-08-27T19:36:58.525564+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-83,31.4,88.52,58.9,138.01999999999998,31.4,88.52,31.8,89.24000000000001,32.7,90.86000000000001,35.5,95.9,98.0
2026-08-27T19:37:00.532294+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-95,31.5,88.7,59.1,138.38,31.5,88.7,31.9,89.42,32.8,91.03999999999999,35.7,96.26,98.0
2026-08-27T19:37:02.539747+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-95,31.5,88.7,59.1,138.38,31.5,88.7,31.9,89.42,32.8,91.03999999999999,35.7,96.26,98.0
2026-08-27T19:37:04.545990+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-95,31.5,88.7,59.1,138.38,31.5,88.7,31.9,89.42,32.8,91.03999999999999,35.7,96.26,98.0
2026-08-27T19:37:06.552825+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-93,31.5,88.7,59.2,138.56,31.5,88.7,32.0,89.6,32.9,91.22,35.8,96.44,98.0
2026-08-27T19:37:08.559594+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-93,31.5,88.7,59.2,138.56,31.5,88.7,32.0,89.6,32.9,91.22,35.8,96.44,98.0
2026-08-27T19:37:10.566756+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-92,31.6,88.88,59.1,138.38,31.6,88.88,32.0,89.6,33.0,91.4,35.8,96.44,98.0
2026-08-27T19:37:12.569796+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-88,31.6,88.88,59.1,138.38,31.6,88.88,32.0,89.6,33.0,91.4,35.8,96.44,98.0
2026-08-27T19:37:14.575091+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-88,31.6,88.88,59.1,138.38,31.6,88.88,32.0,89.6,33.0,91.4,35.8,96.44,98.0
2026-08-27T19:37:16.582252+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-90,31.6,88.88,59.0,138.2,31.6,88.88,32.1,89.78,33.0,91.4,35.9,96.62,98.0
2026-08-27T19:37:18.590029+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-88,31.6,88.88,59.0,138.2,31.6,88.88,32.1,89.78,33.0,91.4,35.9,96.62,98.0
2026-08-27T19:37:20.598830+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-91,31.7,89.06,58.9,138.01999999999998,31.7,89.06,32.1,89.78,33.1,91.58000000000001,36.0,96.8,98.0
2026-08-27T19:37:22.613215+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-91,31.7,89.06,58.9,138.01999999999998,31.7,89.06,32.1,89.78,33.1,91.58000000000001,36.0,96.8,98.0
2026-08-27T19:37:24.620965+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-91,31.7,89.06,58.9,138.01999999999998,31.7,89.06,32.1,89.78,33.1,91.58000000000001,36.0,96.8,98.0
2026-08-27T19:37:26.627852+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-87,31.7,89.06,58.9,138.01999999999998,31.7,89.06,32.1,89.78,33.1,91.58000000000001,36.0,96.8,98.0
2026-08-27T19:37:28.636862+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-96,31.7,89.06,58.7,137.66000000000003,31.7,89.06,32.2,89.96000000000001,33.1,91.58000000000001,36.0,96.8,98.0
2026-08-27T19:37:30.644603+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-87,31.7,89.06,58.7,137.66000000000003,31.7,89.06,32.2,89.96000000000001,33.1,91.58000000000001,36.1,96.98,98.0
2026-08-27T19:37:32.652478+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-87,31.7,89.06,58.7,137.66000000000003,31.7,89.06,32.2,89.96000000000001,33.1,91.58000000000001,36.1,96.98,98.0
2026-08-27T19:37:34.660716+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-88,31.7,89.06,58.7,137.66000000000003,31.7,89.06,32.2,89.96000000000001,33.1,91.58000000000001,36.1,96.98,98.0
2026-08-27T19:37:36.667837+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-88,31.7,89.06,58.7,137.66000000000003,31.7,89.06,32.2,89.96000000000001,33.1,91.58000000000001,36.1,96.98,98.0
2026-08-27T19:37:38.674663+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-91,31.8,89.24000000000001,58.6,137.48000000000002,31.8,89.24000000000001,32.2,89.96000000000001,33.2,91.76,36.2,97.16000000000001,98.0
